"10-digit session UID","Session ID","Session start","Session end","Session duration (minutes)","Charging duration (minutes)","Session idle (minutes)","Estimated Completion Time","kWh delivered","MAX kW","AVG kW","SoC Start","SoC End","User","Vehicle","EVSEID (PFID)","FSE ID","XB Address","Serial #","EVSE type","External Name","Station Name","Site","Site Location","Auth Source","Auth Details","Cost to site","Cost to driver","Fleet","Vehicle barcode"
492366782,"0066040226_2026-08-01 01:48:49.687882_EDGE","2026-07-31 18:48:47.157 -0700","2026-07-31 21:59:20.110 -0700",190.55,189.3,1.25,"2026-08-01 06:48:47.157 -0700",8.725,6.281,2.86,,,336122,47808,"0066-04-02-26","FSE1529510E","0013A20041D88DF5","SWH01022100427","Webasto DX",,"26","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","App",,3.752,3.752,false,""
492365446,"0066100203_2026-08-01 01:35:31.712010_EDGE","2026-07-31 18:35:29.329 -0700","2026-07-31 18:47:54.177 -0700",12.42,0,12.42,"2026-08-01 02:35:29.329 -0700",0,0,0,,,,,"0066-10-02-03","FSE811675E","0013A20041E4A4AA","SWH01352100228","Webasto DX",,"03","SB IV Embarcadero","881 Embarcadero del Mar, Isla Vista, CA 93117","Default",,0,0,false,""
492337358,"0066040218_2026-07-31 21:29:51.963712_EDGE","2026-07-31 14:29:49.353 -0700","2026-07-31 17:46:05.229 -0700",196.27,1,195.27,"2026-07-31 22:29:49.353 -0700",0,0,0,,,,,"0066-04-02-18","FSE742984E","0013A20041B91CD5","SWH01162000060","Webasto DX",,"AD-19 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
492336611,"0066100202_2026-07-31 21:09:53.035384_EDGE","2026-07-31 14:09:54.100 -0700","2026-07-31 15:05:24.077 -0700",55.23,55.17,0.07,"2026-07-31 16:09:54.100 -0700",6.155,7.236,7.03,,,275468,48711,"0066-10-02-02","FSE811674E","0013A20041E4A478","SWH01352100217","Webasto DX",,"02","SB IV Embarcadero","881 Embarcadero del Mar, Isla Vista, CA 93117","App",,2.647,2.647,false,""
492336501,"0066040212_2026-07-31 21:06:05.928454_EDGE","2026-07-31 14:06:03.361 -0700","2026-07-31 16:54:59.802 -0700",168.93,0,168.93,"2026-07-31 22:06:03.361 -0700",0.001,0,0,,,,,"0066-04-02-12","FSE742986E","0013A20041B90BF6","SWH01162000380","Webasto DX",,"AD-22 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
492336087,"0066040226_2026-07-31 20:49:25.813253_EDGE","2026-07-31 13:49:25.809 -0700","2026-07-31 18:20:24.669 -0700",270.95,270.88,0.07,"2026-08-01 01:49:25.809 -0700",16.704,6.25,3.896,,,336122,47808,"0066-04-02-26","FSE1529510E","0013A20041D88DF5","SWH01022100427","Webasto DX",,"26","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","App",,7.183,7.183,false,""
492335767,"0066040227_2026-07-31 20:36:12.122409_EDGE","2026-07-31 13:36:16.399 -0700","2026-07-31 17:13:02.756 -0700",216.5,216.28,0.22,"2026-08-01 01:36:16.399 -0700",10.308,6.098,3.031,,,382726,43498,"0066-04-02-27","FSE1529511E","0013A20041D88E23","SWH01022100417","Webasto DX",,"27","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","App",,4.433,4.433,false,""
492335731,"0066040226_2026-07-31 20:34:39.464053_EDGE","2026-07-31 13:34:37.012 -0700","2026-07-31 13:35:51.905 -0700",1.25,0,1.25,"2026-07-31 21:34:37.012 -0700",0,0,0,,,,,"0066-04-02-26","FSE1529510E","0013A20041D88DF5","SWH01022100427","Webasto DX",,"26","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
492335730,"0066070201_2026-07-31 20:34:34.253045_EDGE","2026-07-31 13:34:32.033 -0700","2026-07-31 16:06:39.579 -0700",152.28,1,151.28,"2026-07-31 21:34:32.033 -0700",0,0,0,,,,,"0066-07-02-01","FSE811736E","0013A2004189322B","SWH01352100241","Webasto DX",,"2A","SB CARP South Via Real","6728 Via Real, Carpinteria, CA 93013","Default",,0,0,false,""
492335141,"0066040202_2026-07-31 20:09:04.898779_EDGE","2026-07-31 13:09:02.189 -0700","2026-07-31 13:24:20.312 -0700",15.3,14.5,0.8,"2026-07-31 21:09:02.189 -0700",1.211,5.442,4.681,,,,,"0066-04-02-02","FSE742975E","0013A20041B8BEE9","SWH01162000037","Webasto DX",,"AD-10 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk",,0.521,0.52,false,""
